id,price
3917,4
1885,0
1305,3
19328,1
16511,2
9998,4
19072,4
16947,4
10530,2
296,2
15096,2
6040,2
8223,2
17600,3
19869,4
19269,5
10975,5
5639,3
19529,3
10679,3
14694,0
8793,3
5721,5
16265,3
93,2
3278,3
884,0
11280,0
21235,3
6313,1
16460,3
5630,2
21189,1
7256,0
16220,5
18414,3
19613,4
218,2
22370,0
22336,1
7055,1
11322,1
2865,4
4750,4
4277,4
5612,0
20989,3
20943,2
12386,0
14334,5
13225,4
2745,4
8738,5
6414,1
9668,3
9031,1
6656,1
10786,2
21549,0
22349,3
6420,0
1947,4
736,1
19630,5
12051,0
5477,0
12645,4
15109,4
10532,5
8220,1
2,1
11044,3
7295,2
10885,3
16796,5
1797,0
10634,1
10407,2
21735,5
2778,2
194,2
7804,0
13530,0
22415,2
20085,0
294,1
11794,2
5122,2
10704,1
16859,5
14362,1
12641,2
1896,4
11109,1
21815,5
4037,4
21022,4
7049,2
11097,5
2850,5
15606,0
14704,4
4372,3
21477,3
5097,3
5643,0
13255,3
15411,3
1895,0
16267,2
6614,3
2121,3
17397,4
5847,2
15086,3
2091,1
7072,4
21176,3
4779,0
7447,5
10305,3
16551,2
22239,4
11519,4
20378,2
17492,1
4201,2
5603,0
5941,0
12785,0
319,4
8428,1
17824,1
20384,3
10343,2
20603,2
1731,4
16696,3
12763,3
15235,3
8423,4
18959,5
8854,2
6700,1
4720,1
1073,5
13019,0
16330,5
22225,1
18079,3
17070,0
56,2
10584,5
5773,4
3321,0
22057,0
3666,0
12852,2
17373,2
4680,2
21019,4
22132,5
4919,0
563,5
20941,2
16160,5
15954,1
6607,0
4080,4
20892,3
9688,1
19288,5
555,1
4315,3
12274,0
14127,2
18654,5
14628,2
9384,2
8175,4
8885,3
1375,2
6396,2
7018,0
7387,0
11458,2
7449,2
18594,3
11356,1
10230,2
3458,1
20208,3
10858,4
10499,4
17272,0
14254,5
5302,1
15804,2
14,0
17461,2
20361,0
14748,1
17289,2
8002,5
21896,2
10912,5
6928,4
19254,2
10324,0
21216,1
5054,3
8707,5
11377,2
18817,4
9891,0
12208,3
1086,2
13836,2
13762,3
4051,2
9371,3
3112,2
4759,5
2981,4
11425,1
7141,4
12627,5
10217,5
18221,1
2728,0
14497,5
